City,zipCodes,Neighborhood
Las Vegas,"89166, 89143, 89131, 89149, 89130",Centennial
Las Vegas,"89129, 89134, 89128, 89130",Summerlin
Las Vegas,"89135, 89117, 89145, 89144",South Summerlin
Las Vegas,"89102, 89146, 89103, 89147",Spring Valley
Las Vegas,"89118, 89139, 89141, 89179, 89178, 89113, 89148",Southwest
Las Vegas,"89109, 89169, 89119, 89123",Southeast
Las Vegas,"89107, 89106, 89101, 89104",Downtown
Las Vegas,"89085, 89087, 89084, 89086, 89081, 89031, 89032, 89030",North Las Vegas
Las Vegas,"89012, 89052, 89183, 89044",Anthem
Las Vegas,89005,Boulder City
Las Vegas,"89014, 89074, 89011, 89015, 89002",Green Valley / Henderson
Las Vegas,"89122, 89121, 89120",Whitney
Las Vegas,"89115, 89156, 89110, 89142",Sunrise
Las Vegas,"89041, 89060, 89048, 89061",Pahrump
